"","variables","MeanDecreaseGini","newvarnames"
"1","lake_lakes1ha_upstream_n",61.6931419276082,"Upstream lakes <= 1 ha (no.)"
"2","lake_lakes1ha_upstream_ha",83.1623308695612,"Upstream lakes <= 1 ha (ha)"
"3","lake_connectivity_class",166.945956090624,"Connectivity class"
"4","nlcd_summed_dev_diff",246.136270715848,"Difference in development 2016-2001 (%)"
"5","nlcd_summed_wetland_diff",287.019157168119,"Difference in wetland 2016-2001 (%)"
"6","avg_nlcd_barren31_pct",358.81245373444,"Average barren (%)"
"7","avg_nlcd_wetland_pct",380.725046261808,"Average wetland (%)"
"8","avg_nlcd_dev_pct",382.00515255163,"Average development (%)"
"9","avg_nlcd_openwater11_pct",386.97389841566,"Average open water (%)"
"10","nlcd_summed_forest_diff",400.09922173039,"Difference in forest 2016-2001 (%)"
"11","nlcd_summed_agr_diff",451.839733339702,"Difference in agriculture 2016-2001 (%)"
"12","lake_glaciatedlatewisc",452.715854461763,"Glaciated"
"13","lm_slope_ppt",454.889612198872,"Slope of precipitation over time"
"14","avg_nlcd_icesnow12_pct",472.262737299056,"Average ice and snow (%)"
"15","lake_perimeter_m",485.990503771655,"Lake perimeter (m)"
"16","lake_waterarea_ha",540.016718304734,"Lake area (ha)"
"17","lm_slope_temp",544.520646240677,"Slope of temperature over time"
"18","avg_nlcd_ag_pct",552.224019661781,"Average agriculture (%)"
"19","avg_annual_range_temp_degC",554.48503321123,"Average annual air temperature range (deg C)"
"20","ws_area_ha",565.674481330606,"Watershed area (ha)"
"21","lake_elevation_m",673.190219789675,"Lake elevation (m)"
"22","avg_nlcd_shrub52_pct",768.512877506223,"Average shrub (%)"
"23","avg_ppt",769.278399902681,"Average precipitation (ppt)"
"24","lake_lat_decdeg",895.921095011368,"Latitude (DD)"
"25","avg_temp_degC",933.122797291982,"Average annual air
temperature (deg C)"
"26","lake_lon_decdeg",1015.74636001527,"Longitude (DD)"
"27","avg_nlcd_forest_pct",1165.6710271073,"Average forest (%)"
"28","epanutr_zoneid",1639.24504829352,"Ecoregion"
